Package name,app name,feature
id=com.textra,Textra SMS,"Feature rich, notably 180+ material design theme, bubble & app icon colors"
id=com.textra,Textra SMS,"scheduled (future) SMS & MMS, send delay, slide to delete, slide to call, quick snap camera, multi-select picture gallery, quick reply SMS popup"
id=com.textra,Textra SMS,"awesome MMS GROUP messaging, quick voice memos, endless GIFs, 21 text sizes, multiple font options, message blocker / blocklisting"
id=com.textra,Textra SMS,"pin-to-top, automatic video & picture compression, support for iOS reactions, iOS emojis"
id=com.textra,Textra SMS,"Customize your preferred theme & bubble colors, signatures and notifications (icon shape, sound, privacy, reminders, and muting) per conversation as well"
id=com.textra,Textra SMS,"Get all the latest Android, Twitter, JoyPixels & iOS style emojis including diversity (skin tone). Just pick your preferred emoji style and express yourself"
id=com.textra,Textra SMS,Added support for Reactions (also known as Tapbacks) received from iOS Apple devices
id=com.textra,Textra SMS, Copy Partial Text tap a bubble to check out this great new feature that allows you to copy any part of the text in a bubble
"id=com.google.android.ap
ps.messaging",Messages,Get more done in your messages with one-tap calendar reminders and emoji replies
"id=com.google.android.ap
ps.messaging",Messages,"See when friends are typing or when they have read your message, share high-quality images and videos, easily add people to a group chat, and experience an all-around richer messaging experience."
"id=com.google.android.ap
ps.messaging",Messages,"End-to-end encryption is a security method that keeps your eligible communications secure, so no one (including Google and third parties) can read or view your messages or attachments."
"id=com.google.android.ap
ps.messaging",Messages,Receive warnings about suspected spam and unsafe websites. Easily block and report potential spammers to help stop unwanted and fraudulent messages.
"id=com.google.android.ap
ps.messaging",Messages,Share high-quality videos directly from your Google Photos library.
"id=com.google.android.ap
ps.messaging",Messages,"Keep the conversation going no matter what device you're on. Chat with friends from your phone, computer, Android tablet, or smart watch with the Messages app."
"id=com.google.android.ap
ps.messaging",Messages,"Access suggested replies, one-tap calendar reminders, link sharing, and more without leaving your message. Reply quicker and get more out of your conversations with smart actions."
"id=com.google.android.ap
ps.messaging",Messages,"Suggested responses, gifs, and emojis make conversations faster and more fun. Reply back to messages with just a tap and keep the conversation going."
"id=com.google.android.ap
ps.messaging",Messages,"Write a text message when it's convenient for you, then schedule the ideal date and time to send it. Get ahead of well wishes and ensure your messages arrive at the optimal time with schedule send."
id=xyz.klinker.messenger,Pulse SMS,Unparalleled design and fluid animations
id=xyz.klinker.messenger,Pulse SMS,Endless global and per-conversation customization options
id=xyz.klinker.messenger,Pulse SMS,Suggested Smart Replies within conversations
id=xyz.klinker.messenger,Pulse SMS,"Password protected, private text conversations"
id=xyz.klinker.messenger,Pulse SMS,"Share GIFs with your messages, from Giphy"
id=xyz.klinker.messenger,Pulse SMS,Powerful searching through messages and conversations
id=xyz.klinker.messenger,Pulse SMS,Automatic message backup and restore with a Pulse SMS account
id=xyz.klinker.messenger,Pulse SMS,Preview web links
id=xyz.klinker.messenger,Pulse SMS,Blacklist pesky spammers
id=xyz.klinker.messenger,Pulse SMS,Delayed sending to give you time to edit or cancel messages you send
id=xyz.klinker.messenger,Pulse SMS,"Automated replies based on contacts, keywords, and driving/vacation modes"
id=xyz.klinker.messenger,Pulse SMS,Dual-SIM support
id=xyz.klinker.messenger,Pulse SMS,"First and foremost, all of your conversations are stored in end-to-end encryption. You never have to worry about your data leaking out and no one can see your messages except for you, not even the Pulse SMS Team! With Pulse SMS, you get privacy and peace of mind, right out of the box."
id=xyz.klinker.messenger,Pulse SMS,"In technical terms, we use PBKDF2 to encrypt your password and use it as a key to encrypt messages and conversations."
id=xyz.klinker.messenger,Pulse SMS,"Pulse SMS has a web app that you can use. It also has native apps for tablets, MacOS, Windows, Google Chrome, Firefox, Linux, and even Android TV. Check out all of our platforms, along with screenshots, here: https://home.pulsesms.app/overview/"
id=com.calea.echo,Mood SMS,Message bubble shapes & colors
id=com.calea.echo,Mood SMS,Backgrounds & over 100 messaging themes
id=com.calea.echo,Mood SMS,Message fonts & text size
id=com.calea.echo,Mood SMS,"Messages notifications (LED, sounds, vibration, format)"
id=com.calea.echo,Mood SMS,"Animated Emojis - iOS, Android or Emoji One style emojis. Discover a messenger app like no other"
id=com.calea.echo,Mood SMS,Choose over 100 free themes to personalize your messenger app
id=com.calea.echo,Mood SMS,Typing indicator to see when your contact is writing you a message
id=com.calea.echo,Mood SMS,Secure your messages with Chat Encryption between Mood Premium users
id=com.calea.echo,Mood SMS,Real time Caller ID - no more number guessing!
id=com.calea.echo,Mood SMS,Group messaging conversations
